,bowler,runs_conceded,balls_bowled,wickets,bowl_avg,balls_per_wicket,false_shot%,econ,%career_balls
181,Shahnawaz Dahani,37,60,0,inf,inf,36.67,3.7,62.5
182,Nathan Bracken,2222,3607,102,21.78,35.36,21.29,3.7,73.45
183,Kyle McCallan,660,1067,23,28.7,46.39,5.06,3.71,80.41
184,Lionel Baker,186,301,8,23.25,37.62,15.28,3.71,71.5
185,Mudassar Bukhari,756,1222,31,24.39,39.42,1.39,3.71,69.47
186,Sohrawordi Shuvo,367,594,13,28.23,45.69,12.46,3.71,77.65
187,Heath Streak,102,165,3,34.0,55.0,23.03,3.71,59.78
188,Kaleem Sana,198,319,12,16.5,26.58,17.55,3.72,78.77
189,Graeme Aldridge,44,71,1,44.0,71.0,26.76,3.72,62.28
190,Taurai Muzarabani,150,242,3,50.0,80.67,7.85,3.72,74.69
191,Gavin Ewing,132,213,4,33.0,53.25,14.55,3.72,78.89
192,Michael Bates,51,82,2,25.5,41.0,9.76,3.73,96.47
193,Jhye Richardson,206,331,9,22.89,36.78,18.13,3.73,40.86
194,Peter Ongondo,749,1204,22,34.05,54.73,4.73,3.73,74.5
195,Basil Hameed,636,1023,33,19.27,31.0,1.47,3.73,90.37
196,Angelo Mathews,2099,3367,71,29.56,47.42,16.84,3.74,63.76
197,Henry Osinde,505,810,22,22.95,36.82,6.91,3.74,69.59
198,Nuwan Kulasekara,3152,5050,131,24.06,38.55,20.3,3.74,62.88
199,Assad Vala,1228,1970,46,26.7,42.83,2.23,3.74,82.91
200,Karim Sadiq,141,226,4,35.25,56.5,4.87,3.74,70.62
201,Dave Langford-Smith,287,460,8,35.88,57.5,14.57,3.74,64.88
202,Dimitri Mascarenhas,335,537,7,47.86,76.71,16.39,3.74,65.09
203,Saqib Mahmood,207,331,11,18.82,30.09,27.79,3.75,78.81
204,Suranga Lakmal,1316,2105,62,21.23,33.95,21.81,3.75,54.1
205,Brad Wheal,320,512,13,24.62,39.38,3.71,3.75,70.04
206,Sagar Dhakal,122,195,3,40.67,65.0,0.0,3.75,85.15
207,Mohammad Amir,1108,1772,47,23.57,37.7,26.64,3.75,58.62
208,Matthew Potts,5,8,0,inf,inf,37.5,3.75,9.52
209,Durand Soraine,60,96,3,20.0,32.0,0.0,3.75,84.96
210,Majid Haq,833,1334,32,26.03,41.69,0.82,3.75,61.36
211,Stuart Chalmers,15,24,0,inf,inf,0.0,3.75,40.0
212,Saeed Ajmal,2628,4206,137,19.18,30.7,25.06,3.75,70.1
213,Shakti Gauchan,15,24,0,inf,inf,0.0,3.75,100.0
214,Elmore Hutchinson,158,252,4,39.5,63.0,0.0,3.76,80.77
215,Rory Kleinveldt,210,335,7,30.0,47.86,23.58,3.76,64.92
216,Jaydev Unadkat,202,322,8,25.25,40.25,24.22,3.76,94.15
217,Jacob Oram,1732,2767,69,25.1,40.1,15.83,3.76,74.84
218,Praveen Kumar,1247,1988,43,29.0,46.23,23.34,3.76,61.24
219,Kyle Mills,2769,4414,139,19.92,31.76,16.97,3.76,68.54
220,Danny Briggs,37,59,2,18.5,29.5,15.25,3.76,98.33
221,Scott Kuggeleijn,37,59,3,12.33,19.67,0.0,3.76,70.24
222,Ajay Lalcheta,49,78,2,24.5,39.0,0.0,3.77,92.86
223,Mashrafe Mortaza,3992,6354,162,24.64,39.22,17.74,3.77,65.53
224,JJ Smit,565,900,30,18.83,30.0,0.0,3.77,81.45
225,Mirwais Ashraf,1057,1680,38,27.82,44.21,4.23,3.78,86.02
226,Andrew Flintoff,1007,1597,49,20.55,32.59,21.42,3.78,55.63
227,Vivian Kingma,431,684,22,19.59,31.09,12.28,3.78,69.65
228,Sandeep Lamichhane,1347,2140,94,14.33,22.77,3.64,3.78,77.23
229,Nasum Ahmed,360,571,12,30.0,47.58,19.96,3.78,78.54
230,Chris Tremain,43,68,2,21.5,34.0,11.76,3.79,28.33
231,Jofra Archer,452,716,22,20.55,32.55,26.26,3.79,62.53
232,Fidel Edwards,823,1304,36,22.86,36.22,18.4,3.79,66.26
233,Regan West,265,420,8,33.12,52.5,0.0,3.79,94.17
234,Maheesh Theekshana,669,1059,30,22.3,35.3,22.29,3.79,50.24
235,Haseeb Amjad,144,228,5,28.8,45.6,0.0,3.79,65.71
236,Dunith Wellalage,218,344,9,24.22,38.22,23.26,3.8,38.61
237,James Anderson,3253,5142,146,22.28,35.22,23.55,3.8,66.81
238,Rohit Paudel,126,199,5,25.2,39.8,1.01,3.8,63.99
239,Ross Taylor,19,30,0,inf,inf,6.67,3.8,71.43
240,Mohsin Mulla,26,41,0,inf,inf,0.0,3.8,68.33
241,Ruud Nijman,31,49,3,10.33,16.33,0.0,3.8,100.0
242,Ryan Harris,385,606,21,18.33,28.86,23.43,3.81,58.61
243,Ruben Trumpelmann,897,1411,42,21.36,33.6,4.04,3.81,75.98
244,Abdur Rehman,821,1292,25,32.84,51.68,18.5,3.81,78.97
245,Mustafizur Rahman,1812,2854,86,21.07,33.19,27.15,3.81,56.84
246,Axar Patel,943,1482,31,30.42,47.81,16.26,3.82,56.83
247,Ronsford Beaton,7,11,0,inf,inf,27.27,3.82,10.78
248,Zaheer Khan,2056,3226,91,22.59,35.45,25.54,3.82,56.13
249,Dale Steyn,2542,3993,115,22.1,34.72,22.74,3.82,63.61
250,Salman Farooq,23,36,0,inf,inf,0.0,3.83,100.0
251,Muthiah Muralidaran,2390,3740,113,21.15,33.1,21.5,3.83,62.84
252,Mosaddek Hossain,363,568,11,33.0,51.64,12.68,3.83,50.27
253,Rangana Herath,1237,1938,38,32.55,51.0,13.98,3.83,64.41
254,Asad Ali,115,180,2,57.5,90.0,14.44,3.83,100.0
255,Zeeshan Maqsood,993,1550,41,24.22,37.8,2.32,3.84,75.02
256,Rashid Khan,2513,3930,132,19.04,29.77,15.19,3.84,74.15
257,Sean Abbott,337,527,17,19.82,31.0,22.01,3.84,53.02
258,Asghar Afghan,80,125,3,26.67,41.67,0.8,3.84,89.93
259,Gerhard Erasmus,572,894,27,21.19,33.11,1.57,3.84,84.18
260,Timil Patel,110,172,5,22.0,34.4,0.0,3.84,73.5
261,Avesh Khan,128,200,4,32.0,50.0,29.0,3.84,55.87
262,Kemar Roach,2011,3138,90,22.34,34.87,22.75,3.85,67.94
263,Jerome Taylor,1756,2734,76,23.11,35.97,21.29,3.85,63.26
264,Asela Gunaratne,124,193,8,15.5,24.12,15.03,3.85,23.14
265,Gordon Goudie,405,631,15,27.0,42.07,0.0,3.85,72.45
266,Azhar Mahmood,95,148,0,inf,inf,20.95,3.85,55.43
267,Sheldon Cottrell,518,808,25,20.72,32.32,25.5,3.85,46.87
268,Bradley Kruger,93,145,3,31.0,48.33,0.0,3.85,76.32
269,Dushmantha Chameera,660,1027,29,22.76,35.41,21.71,3.86,47.33
270,Sanjay Krishnamurthi,27,42,0,inf,inf,0.0,3.86,100.0
271,Chris Tremlett,295,458,12,24.58,38.17,27.07,3.86,57.61
272,Kamran Hussain,65,101,3,21.67,33.67,18.81,3.86,99.02
273,Reece Topley,462,718,23,20.09,31.22,25.35,3.86,53.54
274,Njabulo Ncube,9,14,1,9.0,14.0,35.71,3.86,25.45
275,Jan Frylinck,695,1079,33,21.06,32.7,0.0,3.86,83.84
276,Andy McBrine,1688,2622,52,32.46,50.42,7.78,3.86,63.75
277,Mohit Sharma,467,724,20,23.35,36.2,26.93,3.87,64.3
278,Jay Odedra,184,285,10,18.4,28.5,4.56,3.87,68.84
279,Kaleemullah,959,1488,29,33.07,51.31,6.59,3.87,81.31
280,Will Sutherland,33,51,2,16.5,25.5,21.57,3.88,100.0
281,Roelof van der Merwe,419,648,16,26.19,40.5,8.64,3.88,48.47
282,Nizakat Khan,77,119,3,25.67,39.67,0.0,3.88,83.22
283,Farveez Maharoof,1633,2525,80,20.41,31.56,19.13,3.88,64.01
284,Steven Finn,1422,2201,58,24.52,37.95,25.49,3.88,61.86
285,Abdur Razzak,3035,4678,128,23.71,36.55,18.0,3.89,66.52
286,Chaturanga de Silva,136,210,3,45.33,70.0,11.9,3.89,66.46
287,Josh Davey,493,761,26,18.96,29.27,2.23,3.89,58.58
288,Boyd Rankin,1656,2556,73,22.68,35.01,9.62,3.89,70.57
289,Enamul Haque jnr,270,416,9,30.0,46.22,10.1,3.89,71.6
290,Tom Sole,205,316,6,34.17,52.67,3.16,3.89,62.45
291,Gary Kidd,74,114,1,74.0,114.0,0.0,3.89,100.0
292,Trent Boult,2493,3842,120,20.78,32.02,24.36,3.89,62.08
293,Amir Hayat,164,253,9,18.22,28.11,4.74,3.89,56.73
294,Ian Holland,348,535,18,19.33,29.72,0.0,3.9,85.19
295,Raymon Reifer,50,77,2,25.0,38.5,16.88,3.9,47.53
296,Paul van Meekeren,294,452,16,18.38,28.25,14.16,3.9,43.84
297,Billy Stanlake,108,166,4,27.0,41.5,18.67,3.9,46.89
298,Ahmed Raza,1518,2334,53,28.64,44.04,1.11,3.9,83.81
299,Ali Khan,322,496,24,13.42,20.67,13.31,3.9,72.41
300,Dewald Nel,247,380,10,24.7,38.0,3.16,3.9,67.14
301,Qaiser Ali,54,83,1,54.0,83.0,1.2,3.9,98.81
302,Paras Khadka,217,334,8,27.12,41.75,0.0,3.9,92.52
303,Hamza Tahir,794,1218,35,22.69,34.8,3.61,3.91,83.77
304,Ryan Sidebottom,479,735,15,31.93,49.0,24.63,3.91,61.45
305,Saleem Mukuddem,122,187,4,30.5,46.75,1.07,3.91,60.91
306,Junaid Siddiqui,145,222,3,48.33,74.0,0.0,3.92,60.82
307,Nicky Boje,338,517,10,33.8,51.7,18.76,3.92,91.34
308,Mohammed Shami,1806,2764,98,18.43,28.2,27.89,3.92,55.4
309,Gary Brent,433,663,9,48.11,73.67,16.44,3.92,67.65
310,Shoaib Akhtar,834,1277,44,18.95,29.02,23.41,3.92,56.23
311,Mohammad Nabi,3627,5548,118,30.74,47.02,6.9,3.92,73.85
312,Ali Naseer,140,214,3,46.67,71.33,19.63,3.93,50.35
313,Peter Borren,756,1155,22,34.36,52.5,0.17,3.93,73.29
314,Chris Martin,268,408,4,67.0,102.0,15.69,3.94,64.76
315,Pawan Sarraf,126,192,3,42.0,64.0,0.0,3.94,59.63
316,Shakib Al Hasan,5263,8015,211,24.94,37.99,13.82,3.94,65.78
317,Jaskaran Malhotra,67,102,2,33.5,51.0,0.0,3.94,100.0
318,Gregory Strydom,21,32,0,inf,inf,3.12,3.94,88.89
319,Logan van Beek,654,995,29,22.55,34.31,17.49,3.94,57.98
320,Mitchell Johnson,3366,5124,161,20.91,31.83,26.85,3.94,68.12
321,Jason Holder,2334,3557,88,26.52,40.42,21.93,3.94,55.35
322,Rohan Mustafa,1759,2678,58,30.33,46.17,2.35,3.94,71.87
323,Simon Jones,116,176,2,58.0,88.0,11.93,3.95,69.84
324,Ramesh David,56,85,2,28.0,42.5,0.0,3.95,87.63
325,Washington Sundar,244,371,14,17.43,26.5,19.41,3.95,58.24
326,Harbhajan Singh,3008,4565,78,38.56,58.53,17.7,3.95,60.51
327,Parth Desai,310,471,8,38.75,58.88,1.06,3.95,77.59
328,Liam Dawson,29,44,1,29.0,44.0,4.55,3.95,16.67
329,Lalit Bhandari,29,44,2,14.5,22.0,0.0,3.95,81.48
330,Greg Lamb,324,492,10,32.4,49.2,22.56,3.95,76.64
331,Matt Henry,1684,2561,81,20.79,31.62,21.98,3.95,59.74
332,Morne Morkel,2327,3536,118,19.72,29.97,25.85,3.95,60.91
333,Izatullah Dawlatzai,113,171,5,22.6,34.2,0.0,3.96,81.43
334,Basant Regmi,95,144,2,47.5,72.0,0.0,3.96,86.75
335,Mosharraf Hossain,118,179,4,29.5,44.75,8.38,3.96,90.4
336,Janeiro Tucker,111,168,1,111.0,168.0,0.6,3.96,35.74
337,Fazalhaq Farooqi,588,891,32,18.38,27.84,29.52,3.96,62.57
338,Craig Young,744,1128,38,19.58,29.68,11.97,3.96,52.64
339,Mohammad Abbas,33,50,0,inf,inf,0.0,3.96,30.86
340,Zhivago Groenewald,129,195,11,11.73,17.73,0.0,3.97,98.48
341,Henry Shipley,145,219,11,13.18,19.91,21.92,3.97,56.59
342,Karima Gore,305,461,10,30.5,46.1,0.0,3.97,83.36
343,Prosper Utseya,3382,5115,77,43.92,66.43,8.9,3.97,70.26
344,Usman Shinwari,345,521,25,13.8,20.84,26.49,3.97,67.49
345,Rahat Ali,202,305,7,28.86,43.57,21.97,3.97,44.79
346,Brett Lee,3405,5149,179,19.02,28.77,24.16,3.97,76.1
347,Daren Powell,1274,1921,50,25.48,38.42,20.04,3.98,71.76
348,Steve Harmison,565,852,24,23.54,35.5,21.24,3.98,48.49
349,Munaf Patel,1445,2179,51,28.33,42.73,21.25,3.98,68.12
350,Adrian Neill,227,342,11,20.64,31.09,13.74,3.98,78.98
351,Harry Gurney,159,240,2,79.5,120.0,20.83,3.98,52.4
352,Mark Jonkman,352,531,18,19.56,29.5,1.32,3.98,78.09
353,Kushal Malla,489,738,17,28.76,43.41,2.17,3.98,69.43
354,Iftikhar Anjum,1144,1722,44,26.0,39.14,18.64,3.99,59.85
355,Akeal Hosein,843,1269,32,26.34,39.66,19.46,3.99,60.52
356,Chris Woakes,2058,3093,86,23.93,35.97,21.34,3.99,53.97
357,Colin Ackermann,169,254,5,33.8,50.8,7.87,3.99,46.35
358,Darren Gough,369,555,10,36.9,55.5,15.68,3.99,59.55
359,Kyle Jarvis,903,1359,38,23.76,35.76,13.39,3.99,58.23
360,Charles Perchard,97,146,4,24.25,36.5,6.16,3.99,53.87
361,Andy McKay,349,525,14,24.93,37.5,16.76,3.99,56.21
362,Prasidh Krishna,279,419,13,21.46,32.23,23.87,4.0,52.57
363,Sharafuddin Ashraf,485,728,12,40.42,60.67,3.85,4.0,82.54
364,Shapoor Zadran,1054,1581,33,31.94,47.91,6.33,4.0,80.34
365,James Hopes,1575,2361,49,32.14,48.18,19.44,4.0,74.74
366,Innocent Kaia,16,24,0,inf,inf,12.5,4.0,85.71
367,Lahiru Madushanka,14,21,1,14.0,21.0,23.81,4.0,14.48
368,Sahan Arachchige,28,42,1,28.0,42.0,9.52,4.0,100.0
369,Obed McCoy,4,6,0,inf,inf,33.33,4.0,7.14
370,Jayden Seales,112,168,3,37.33,56.0,20.24,4.0,38.18
371,John Anderson,20,30,0,inf,inf,0.0,4.0,100.0
